Name,Category,Type
aathesh store,Groceries,Fixed
acko general in,Insurance,Fixed
add money to wa,Miscellaneous,Variable
aeolus healthca,Health,Variable
airtel hdfc upi,Phone,Fixed
akshaya patra,Donation,Variable
amazon,Shopping,Variable
amazon pay,Miscellaneous,Variable
amazon pay indi,Miscellaneous,Variable
amazonpa,Miscellaneous,Variable
apollo hospital,Health,Variable
apollo pharmacy,Medicine,Variable
apple media ser,Entertainment,Variable
apple services,Entertainment,Variable
bharatpemerchan,Miscellaneous,Variable
bharti airtel l,Phone,Fixed
bhupathi shiva,Miscellaneous,Variable
big basket,Groceries,Fixed
bigbasket,Groceries,Fixed
bigbaskets,Groceries,Fixed
billdesktez,Miscellaneous,Variable
bolliwar gangap,Miscellaneous,Variable
capesindia,Shopping,Variable
ccavenues,Miscellaneous,Variable
chithara sree s,Maid,Fixed
chocolate hut c,Food,Variable
cleartrip,Travel,Variable
cleartrip priva,Travel,Variable
cleartrip pvt.,Travel,Variable
country delight,Groceries,Fixed
coursera,Education,Variable
cred,Credit Card,Variable
credclub,Credit Card,Variable
decathlon sport,Health,Variable
deepika,Miscellaneous,Variable
digital age ret,Shopping,Variable
dish infra priv,Entertainment,Variable
dtdc express lt,Couriers,Variable
dunzo digital p,Groceries,Fixed
electricity bil,Utilities,Fixed
electricity boa,Utilities,Fixed
fastag recharge,Travel,Variable
finzoomers serv,Investment,Fixed
flipkart intern,Shopping,Variable
flyberry gourme,Food,Variable
grace world sem,Groceries,Fixed
herbaceous reta,Miscellaneous,Variable
indianclearingc,Investment,Fixed
indianoil corpo,Fuel,Variable
indigo,Travel,Variable
infureka techno,Miscellaneous,Variable
innovative reta,Groceries,Fixed
interglobe avia,Travel,Variable
irctc web upi,Travel,Variable
jaya filing sta,Fuel,Variable
jiofiber,Internet,Fixed
kalyan munjulu,Miscellaneous,Variable
kalyan munjulur,Miscellaneous,Variable
ki mobility sol,Repair,Variable
kims hospitals,Health,Variable
kosta foods,Food,Variable
lightsaber food,Food,Variable
mana mart,Groceries,Fixed
midway,Food,Variable
mobikwik,Phone,Fixed
olacabs pvt ltd,Travel,Variable
ooty vegetables,Groceries,Fixed
optival health,Health,Variable
parkplus,Travel,Variable
paytm,Utilities,Fixed
paytm postpaid,Utilities,Fixed
paytm utility b,Utilities,Fixed
pinelabspos,Miscellaneous,Variable
pure o natural,Groceries,Fixed
pvr cinemas,Entertainment,Variable
razorpay,Miscellaneous,Variable
razorpay softwa,Miscellaneous,Variable
razorpayairtel,Phone,Fixed
razorpayzomato,Food,Variable
sakthi tea stal,Food,Variable
saravana sweets,Food,Variable
shine supermark,Groceries,Fixed
shoppers stop l,Shopping,Variable
shoppersstop,Shopping,Variable
sleeky india,Shopping,Variable
spotify india p,Entertainment,Variable
ss onions shop,Groceries,Fixed
stork home ip b,Health,Variable
stork home op b,Health,Variable
stork home phar,Health,Variable
swiggy,Food,Variable
swiggygenie,Groceries,Fixed
targetone innov,Repair,Variable
tata play,Entertainment,Variable
tata sky com,Entertainment,Variable
tatasky,Entertainment,Variable
tea time,Food,Variable
tfs  cb,Miscellaneous,Variable
toni n guy poru,Beauty,Variable
tron enterprise,Personal,Variable
tsspdcl electri,Utilities,Fixed
uber india syst,Travel,Variable
udemy,Education,Variable
unique indentif,Miscellaneous,Variable
vennela liquor,Personal,Variable
yesbank,Miscellaneous,Variable
zee,Entertainment,Variable
zeptonow,Groceries,Fixed
zerodha,Investment,Fixed
zerodha broking,Investment,Fixed
zomato ltd,Food,Variable
pcd//fernandez foundation/hyderaba/:,Helath,Variable
pcd//ms churrolto/hyderabad/:,Food,Variable
chrg: imps transaction dated on -jul -,Charges,Variable
neft  multipl fintech solutions priva,Miscellaneous,Variable
pg-incorrect refund by amazon- -rvsd,Reversal,Reversal
pcd//hana enterprises/chennai/:,Food,Variable
rev: ospuecom,Reversal,Reversal
ib: etax tin,Tax,Variable
mb rent                          ref,Rent,Fixed
nach-ecs-cr-oil and natural gas-,Dividends,Variable
pcd//suncity fuels/chennai/:,Fuel,Fixed
os www.goindigo.in  kpg-,Travel,Variable
nach--cr-moil limited- molfinw,Dividends,Variable
pcd//swiggy/ /:,Food,Variable
nach--cr-astral limited- asfinw,Dividends,Variable
recd:imps//wunderba ke/kkbk/x/verif,Miscellaneous,Variable
neft n zerodha commodities pvt ltd,Investment,Fixed
pg  amazon.in,Shopping,Variable
rev:os paytm,Reversal,Reversal
mb:sent money to own,Personal,Variable
nach--cr-relianceindustries-,Dividends,Variable
pcd//srmc gr fl pharmacy/chennai/:,Medicine,Variable
recd:imps//kalyan mun/kkbk/x/sbm p,Investment,Fixed
nach--dr-fo mirae- dgrnbtflak,Investment,Fixed
os razorecom swiggy,Food,Variable
chrg: ecs mandate- kb -apr -,Charges,Variable
nach--dr-fo mirae- zlvvevodo,Investment,Fixed
nach--dr-for icici- cfbwjgce,Investment,Fixed
pg amazon pay india pri,Miscellaneous,Variable
chrg: imps transaction dated on - mar-,Charges,Variable
mb:paid card number xx,Credit Card,Fixed
nach--dr-for icici- cuvzgzqqic,Investment,Fixed
kspayout,Investment,Fixed
pcd//zomatocom/ /:,Food,Variable
chrg: imps transaction dated on - sep-(value date: --),Charges,Variable
pg bigbasket,Groceries,Fixed
chrg: ecs mandate- kb -dec -,Charges,Variable
nach--dr-bluchip n int- sqtlpywcrp,Investment,Fixed
nach--dr-bluchip n int- yobusvd,Investment,Fixed
nach--dr-debtfund- xqtmpltex,Investment,Fixed
os paytm   kpg-,Miscellaneous,Variable
chrg: imps transaction dated on - oct-(value date: --),Charges,Variable
pg  paytm wallet,Utilities,Fixed
nach-ecs-cr-la opala rg ltd.-,Dividends,Variable
pg  apollo pharmacy kpg-,Medicine,Variable
nach-ecs-cr-moil limited- molintw,Dividends,Variable
neft citin uiic health payments citi,Insurance,Fixed
chrg: imps transaction dated on - jun-(value date: --),Charges,Variable
pcd//ratnadeep super market/hydera/:,Groceries,Fixed
"pcd//bata india,/hyderabad/:",Shopping,Variable
chrg: imps transaction dated on - jan-,Charges,Variable
pcd//jayafilingstation/nellore /:,Fuel,Fixed
pcd//varun enterprises/chennai/:,Fuel,Fixed
recd:imps//signzy tec/kkbk/x/,Miscellaneous,Variable
pg  bigbasket,Groceries,Fixed
pg  easy trip planners l,Travel,Variable
recd:imps//razorpay s/kkbk/x/multi,Miscellaneous,Variable
pcd//the hairlounge/hyderabad/:,Beauty,Variable
pcd//maram suresh reddy/hyderabad/:,Miscellaneous,Variable
pg www jiyo com,Groceries,Fixed
pg paytm wallet,Utilities,Fixed
neft n indian clearing corporation,Investment,Fixed
pcd//netflix/ /:,Entertainment,Variable
pcd//apollo pharmacy/hyderabad/:,Medicine,Variable
nach--dr-bluchip n int- vqvgfcrvqhs,Investment,Fixed
upi_cradj_u_tdt__ _jan_c,Reversal,Reversal
pcd//sri saravana service s/chenna/:,Shopping,Variable
nach--dr-yes bank- enach,Personal,Variable
nach--dr-debtfund- nbpugf,Investment,Fixed
pcd//chaman medicals/hyderabad/:,Medicine,Variable
nach--cr-oil and natural gas-,Dividends,Variable
pg beejapuri dairy priv,Groceries,Fixed
nach--dr-icici  kotak- jpxrwkag,Investment,Fixed
nach--dr-all sip-exlkavjz nachdb,Investment,Fixed
int.pd::-- to --,Interest,Variable
pcd//me n moms pvt ltd/hyderabad/:,Shopping,Variable
chrg: imps transaction dated on - apr-,Charges,Variable
nach--dr-debtfund- wohuh,Investment,Fixed
nach--dr-fo mirae- mhfgyhqimaz,Investment,Fixed
rev:u,Reversal,Reversal
recd:imps//acc valida/kkbk/x/kfint,Miscellaneous,Variable
nach--dr-tp ach maxlifeinsura-,Insurance,Fixed
nach--dr-for icici- usdgvbf,Investment,Fixed
recd:imps//sodexo svc/kkbk/x/banka,Miscellaneous,Variable
ks in sp n kr,Investment,Fixed
chrg: imps transaction dated on - may-(value date: --),Charges,Variable
upi_cradj_u_tdt__ _sep_c,Reversal,Reversal
pcd//shiva shakti fuel/hyderabad/:,Fuel,Fixed
nach--dr-fo mirae- ayscxzhuikod,Investment,Fixed
pg  cleartrip private li,Travel,Variable
pcd//fehmicare hospital/hyderabad/:,Health,Variable
upi_cradj_u_tdt__ _mar_c,Reversal,Reversal
neft n zerodha broking limited nse,Investment,Fixed
